"Estacion","Temperatura","Vel_viento","Temp_max","Temp_min","Precipitacion","Fecha"
802140,22.8333333333333,6.1116,27.7222222222222,19.6111111111111,7.874,2014-05-09
802140,22.9444444444444,6.2968,26,20,1.016,2014-05-10
802140,21.9444444444444,5.9264,26,19.2222222222222,13.97,2014-05-11
802140,24.3333333333333,6.482,28,19.5,9.906,2014-05-12
802140,24.3333333333333,6.2968,29,20,0.508,2014-05-13
802140,25.3888888888889,7.7784,29,20.2222222222222,1.016,2014-05-14
802140,24.6111111111111,9.4452,29.8888888888889,19.3888888888889,0,2014-05-15
802140,25,6.1116,28.3888888888889,20,4.064,2014-05-16
802140,23.0555555555556,6.6672,28.7777777777778,20,0,2014-05-17
802140,23.4444444444444,8.1488,27,19.6111111111111,11.938,2014-05-18
802140,24.0555555555556,8.8896,27,18.7777777777778,0,2014-05-19
802140,25.3333333333333,6.6672,29,19.3888888888889,0,2014-05-20
802140,25.1111111111111,8.5192,29.3888888888889,18.8888888888889,0,2014-05-21
802140,23.2222222222222,6.2968,28.6111111111111,18.2222222222222,67.056,2014-05-22
802140,25.5,6.482,29,19.6111111111111,0,2014-05-23
802140,24.7222222222222,9.8156,28,18.7777777777778,19.05,2014-05-24
802140,25.1666666666667,8.1488,29.2222222222222,18.5,0,2014-05-25
802140,23.8333333333333,5.7412,28.6111111111111,19,2539.746,2014-05-26
802140,24.9444444444444,6.6672,29,19,0,2014-05-28
802140,24.4444444444444,3.5188,29.8888888888889,19.6111111111111,0,2014-05-29
802140,25.6666666666667,9.0748,29.1111111111111,19.7777777777778,0,2014-05-31
802140,23.5555555555556,9.8156,27.7222222222222,20,6.096,2014-06-01
802140,23.3333333333333,9.6304,28.2777777777778,19.7777777777778,16.002,2014-06-02
802140,25.2777777777778,6.482,26.7777777777778,23,0,2014-06-03
802140,24.3888888888889,7.2228,29.2222222222222,19,22.098,2014-06-04
802140,25.8888888888889,7.7784,29,20,0,2014-06-05
